Navn;Stasjon;Tid(norsk normaltid);Høyeste vindkast (10 min)
E39 Stordabrua;SN48070;28.01.2022 22:20;11,8
E39 Stordabrua;SN48070;28.01.2022 22:30;11,7
E39 Stordabrua;SN48070;28.01.2022 22:40;10,1
E39 Stordabrua;SN48070;28.01.2022 22:50;8,8
E39 Stordabrua;SN48070;28.01.2022 23:00;7,5
E39 Stordabrua;SN48070;28.01.2022 23:10;8,5
E39 Stordabrua;SN48070;28.01.2022 23:20;9
E39 Stordabrua;SN48070;28.01.2022 23:30;11,1
E39 Stordabrua;SN48070;28.01.2022 23:40;11,1
E39 Stordabrua;SN48070;28.01.2022 23:50;12,1
E39 Stordabrua;SN48070;29.01.2022 00:00;12,1
E39 Stordabrua;SN48070;29.01.2022 00:10;12,1
E39 Stordabrua;SN48070;29.01.2022 00:20;11,2
E39 Stordabrua;SN48070;29.01.2022 00:30;9,9
E39 Stordabrua;SN48070;29.01.2022 00:40;8,4
E39 Stordabrua;SN48070;29.01.2022 00:50;10,1
